"conference","start","end","online","fee","registered","attended","website"
"Devopsdays London",26/09/2019,27/09/2019,False,True,True,True,"https://devopsdays.org/events/2019-london/program"
"QCon London",02/03/2020,06/03/2020,False,True,True,True,"https://qconlondon.com/recap/london2020"
"PyData Global",11/11/2020,15/11/2020,True,True,True,True,"https://global.pydata.org/pages/program"
"Pyjamas Conf 2020",05/12/2020,05/12/2020,True,True,True,True,"https://pyjamas.live/schedule/"
"PyCascades",19/02/2021,21/02/2021,True,True,True,True,"https://2021.pycascades.com/"
"AWS Innovate - AI/ML Edition",24/02/2021,24/02/2021,True,False,True,True,"https://aws.amazon.com/events/aws-innovate/machine-learning/online/emea/agenda/"
"PyCon US",12/05/2021,18/05/2021,True,True,True,False,"https://us.pycon.org/2021/"
"GopherCon Europe",26/05/2021,28/05/2021,True,True,True,False,"https://gophercon.eu/schedule/"
"PyData Global 2021",28/10/2021,30/10/2021,True,True,True,True,"https://pydata.org/global2021/"
"MLOps World",13/06/2021,17/06/2021,True,True,True,True,"https://mlopsworld.com/"
"Pyjamas Conf 2021",04/12/2021,04/12/2021,True,False,True,True,"https://pyjamas.live/schedule/"
"PyData London 2022",17/06/2022,19/06/2022,False,True,True,True,"https://pydata.org/london2022/"
"GopherCon Europe 2022",29/07/2022,31/07/2022,True,True,True,True,"https://gophercon.eu/"
"MLOps World 2022",07/06/2022,10/06/2022,True,True,True,True,"https://mlopsworld.com/"
"PyData Global 2022",01/12/2022,03/12/2022,True,True,True,False,"https://pydata.org/global2022/"
"Pyjamas Conf 2022",26/11/2022,27/11/2022,True,True,True,False,"https://pyjamas.live/"
"PyData London 2023",02/06/2023,04/06/2023,False,True,True,True,"https://pydata.org/london2023/"
"EuroPython 2023",17/07/2023,23/07/2023,True,True,True,True,"https://ep2023.europython.eu/"
"PyData London 2024",14/06/2024,16/06/2024,False,True,True,False,"https://pydata.org/london2024/"
